0,493
1000000,462
2000000,290
3000000,232
4000000,229
5000000,496
6000000,830
7000000,221
8000000,615
9000000,256
10000000,485
11000000,403
12000000,320
13000000,243
14000000,220
15000000,334
16000000,205
17000000,200
18000000,203
19000000,196
20000000,272
21000000,213
22000000,373
23000000,191
24000000,197
25000000,298
26000000,232
27000000,402
28000000,195
29000000,382
30000000,216
31000000,257
32000000,317
33000000,368
34000000,248
35000000,353
36000000,354
37000000,275
38000000,690
39000000,244
40000000,196
41000000,206
42000000,252
43000000,197
44000000,191
45000000,457
46000000,181
47000000,192
48000000,1685
49000000,288
50000000,245
51000000,207
52000000,239
53000000,321
54000000,645
55000000,238
56000000,319
57000000,235
58000000,216
59000000,280
60000000,221
61000000,393
62000000,262
63000000,501
64000000,315
65000000,673
66000000,202
67000000,1017
68000000,689
69000000,907
70000000,355
71000000,2146
72000000,906
73000000,309
74000000,332
75000000,327
76000000,284
77000000,343
78000000,250
79000000,269
80000000,224
81000000,232
82000000,238
83000000,513
84000000,255
85000000,237
86000000,5562
87000000,398
88000000,440
89000000,246
90000000,348
91000000,402
92000000,2335
93000000,703
94000000,244
95000000,372
96000000,320
97000000,362
98000000,662
99000000,347
100000000,398
101000000,257
102000000,1240
103000000,1141
104000000,203
105000000,228
106000000,2620
107000000,255
108000000,306
109000000,359
110000000,312
111000000,687
112000000,269
113000000,328
114000000,355
115000000,353
116000000,328
117000000,2257
118000000,568
119000000,279
120000000,1144
121000000,260
122000000,428
123000000,337
124000000,398
125000000,2374
126000000,748
127000000,632
128000000,281
129000000,358
130000000,1911
131000000,1899
132000000,292
133000000,3858
134000000,3528
135000000,454
136000000,256
137000000,1320
138000000,440
139000000,293
140000000,601
141000000,283
142000000,299
143000000,562
144000000,225
145000000,242
146000000,226
147000000,252
148000000,212
149000000,915
150000000,224
151000000,245
152000000,263
153000000,273
154000000,256
155000000,285
156000000,211
157000000,510
158000000,513
159000000,266
160000000,193
161000000,264
162000000,263
163000000,229
164000000,892
165000000,487
166000000,227
167000000,314
168000000,230
169000000,239
170000000,215
171000000,339
172000000,222
173000000,279
174000000,249
175000000,203
176000000,232
177000000,214
178000000,203
179000000,247
180000000,1279
181000000,340
182000000,213
183000000,259
184000000,215
185000000,2722
186000000,326
187000000,1586
188000000,228
189000000,291
190000000,4846
191000000,261
192000000,290
193000000,297
194000000,361
195000000,380
196000000,1334
197000000,291
198000000,200
199000000,539
200000000,214
201000000,348
202000000,469
203000000,454
204000000,220
205000000,281
206000000,405
207000000,247
208000000,291
209000000,252
210000000,300
211000000,462
212000000,362
213000000,445
214000000,253
215000000,315
216000000,331
217000000,345
218000000,210
219000000,290
220000000,338
221000000,279
222000000,12092
223000000,474
224000000,225
225000000,255
226000000,717
227000000,254
228000000,268
229000000,386
230000000,1986
231000000,353
232000000,215
233000000,392
234000000,252
235000000,457
236000000,283
237000000,332
238000000,403
239000000,312
240000000,260
241000000,482
242000000,1421
243000000,405
244000000,327
245000000,314
246000000,438
247000000,463
248000000,384
249000000,327
250000000,238
251000000,601
252000000,189
253000000,212
254000000,308
255000000,235
256000000,199
257000000,302
258000000,1356
259000000,322
260000000,241
261000000,655
262000000,309
263000000,365
264000000,242
265000000,647
266000000,358
267000000,391
268000000,307
269000000,405
270000000,264
271000000,298
272000000,330
273000000,495
274000000,253
275000000,2330
276000000,289
277000000,882
278000000,390
279000000,292
280000000,508
281000000,461
282000000,235
283000000,383
284000000,342
285000000,424
286000000,249
287000000,608
288000000,360
289000000,5174
290000000,226
291000000,344
292000000,358
293000000,480
294000000,432
295000000,320
296000000,201
297000000,1291
298000000,295
299000000,324
300000000,283
301000000,1088
302000000,339
303000000,306
304000000,232
305000000,4563
306000000,225
307000000,249
308000000,966
309000000,345
310000000,283
311000000,453
312000000,223
313000000,265
314000000,186
315000000,246
316000000,194
317000000,251
318000000,766
319000000,232
320000000,2225
321000000,269
322000000,198
323000000,369
324000000,245
325000000,240
326000000,196
327000000,214
328000000,221
329000000,274
330000000,218
331000000,219
332000000,243
333000000,228
334000000,265
335000000,304
336000000,288
337000000,301
338000000,259
339000000,277
340000000,197
341000000,296
342000000,249
343000000,272
344000000,4135
345000000,287
346000000,230
347000000,267
348000000,233
349000000,297
350000000,291
351000000,1963
352000000,212
353000000,246
354000000,217
355000000,241
